lambda	n	k
826	1.440523	6.04E-05
827	1.440508	6.01E-05
828	1.440492	5.97E-05
829	1.440477	5.94E-05
830	1.440462	5.90E-05
831	1.440447	5.87E-05
832	1.440431	5.84E-05
833	1.440416	5.80E-05
834	1.440401	5.77E-05
835	1.440386	5.74E-05
836	1.440372	5.71E-05
837	1.440357	5.67E-05
838	1.440342	5.64E-05
839	1.440327	5.61E-05
840	1.440312	5.58E-05
841	1.440298	5.55E-05
842	1.440283	5.51E-05
843	1.440269	5.48E-05
844	1.440254	5.45E-05
845	1.44024	5.42E-05
846	1.440225	5.39E-05
847	1.440211	5.36E-05
848	1.440197	5.33E-05
849	1.440183	5.30E-05
850	1.440168	5.27E-05
851	1.440154	5.24E-05
852	1.44014	5.21E-05
853	1.440126	5.18E-05
854	1.440112	5.15E-05
855	1.440098	5.12E-05
856	1.440084	5.09E-05
857	1.44007	5.06E-05
858	1.440057	5.03E-05
859	1.440043	5.00E-05
860	1.440029	4.97E-05
861	1.440016	4.94E-05
862	1.440002	4.91E-05
863	1.439988	4.88E-05
864	1.439975	4.86E-05
865	1.439961	4.83E-05
866	1.439948	4.80E-05
867	1.439935	4.77E-05
868	1.439921	4.74E-05
869	1.439908	4.72E-05
870	1.439895	4.69E-05
871	1.439882	4.66E-05
872	1.439869	4.63E-05
873	1.439855	4.61E-05
874	1.439842	4.58E-05
875	1.439829	4.55E-05
876	1.439816	4.53E-05
877	1.439804	4.50E-05
878	1.439791	4.47E-05
879	1.439778	4.45E-05
880	1.439765	4.42E-05
881	1.439752	4.40E-05
882	1.43974	4.37E-05
883	1.439727	4.34E-05
884	1.439714	4.32E-05
885	1.439702	4.29E-05
886	1.439689	4.27E-05
887	1.439677	4.24E-05
888	1.439664	4.22E-05
889	1.439652	4.19E-05
890	1.43964	4.17E-05
891	1.439627	4.14E-05
892	1.439615	4.12E-05
893	1.439603	4.09E-05
894	1.439591	4.07E-05
895	1.439578	4.05E-05
896	1.439566	4.02E-05
897	1.439554	4.00E-05
898	1.439542	3.97E-05
899	1.43953	3.95E-05
900	1.439518	3.93E-05
901	1.439506	3.90E-05
902	1.439495	3.88E-05
903	1.439483	3.86E-05
904	1.439471	3.84E-05
905	1.439459	3.81E-05
906	1.439447	3.79E-05
907	1.439436	3.77E-05
908	1.439424	3.74E-05
909	1.439413	3.72E-05
910	1.439401	3.70E-05
911	1.43939	3.68E-05
912	1.439378	3.66E-05
913	1.439367	3.63E-05
914	1.439355	3.61E-05
915	1.439344	3.59E-05
916	1.439332	3.57E-05
917	1.439321	3.55E-05
918	1.43931	3.53E-05
919	1.439299	3.51E-05
920	1.439288	3.48E-05
921	1.439276	3.46E-05
922	1.439265	3.44E-05
923	1.439254	3.42E-05
924	1.439243	3.40E-05
925	1.439232	3.38E-05
926	1.439221	3.36E-05
927	1.43921	3.34E-05
928	1.439199	3.32E-05
929	1.439189	3.30E-05
930	1.439178	3.28E-05
931	1.439167	3.26E-05
932	1.439156	3.24E-05
933	1.439145	3.22E-05
934	1.439135	3.20E-05
935	1.439124	3.18E-05
936	1.439113	3.16E-05
937	1.439103	3.14E-05
938	1.439092	3.12E-05
939	1.439082	3.11E-05
940	1.439071	3.09E-05
941	1.439061	3.07E-05
942	1.43905	3.05E-05
943	1.43904	3.03E-05
944	1.43903	3.01E-05
945	1.439019	2.99E-05
946	1.439009	2.98E-05
947	1.438999	2.96E-05
948	1.438989	2.94E-05
949	1.438978	2.92E-05
950	1.438968	2.90E-05
951	1.438958	2.89E-05
952	1.438948	2.87E-05
953	1.438938	2.85E-05
954	1.438928	2.83E-05
955	1.438918	2.82E-05
956	1.438908	2.80E-05
957	1.438898	2.78E-05
958	1.438888	2.76E-05
959	1.438878	2.75E-05
960	1.438868	2.73E-05
961	1.438859	2.71E-05
962	1.438849	2.70E-05
963	1.438839	2.68E-05
964	1.438829	2.66E-05
965	1.43882	2.65E-05
966	1.43881	2.63E-05
967	1.4388	2.62E-05
968	1.438791	2.60E-05
969	1.438781	2.58E-05
970	1.438772	2.57E-05
971	1.438762	2.55E-05
972	1.438753	2.54E-05
973	1.438743	2.52E-05
974	1.438734	2.51E-05
975	1.438724	2.49E-05
976	1.438715	2.47E-05
977	1.438706	2.46E-05
978	1.438696	2.44E-05
979	1.438687	2.43E-05
980	1.438678	2.41E-05
981	1.438669	2.40E-05
982	1.438659	2.38E-05
983	1.43865	2.37E-05
984	1.438641	2.35E-05
985	1.438632	2.34E-05
986	1.438623	2.33E-05
987	1.438614	2.31E-05
988	1.438605	2.30E-05
989	1.438596	2.28E-05
990	1.438587	2.27E-05
991	1.438578	2.25E-05
992	1.438569	2.24E-05
993	1.43856	2.23E-05
994	1.438551	2.21E-05
995	1.438542	2.20E-05
996	1.438534	2.18E-05
997	1.438525	2.17E-05
998	1.438516	2.16E-05
999	1.438507	2.14E-05
1000	1.438499	2.13E-05
