lambda	n	k
865	2.277584	3.87E-10
866	2.277517	3.74E-10
867	2.27745	3.62E-10
868	2.277383	3.50E-10
869	2.277317	3.38E-10
870	2.277251	3.27E-10
871	2.277185	3.16E-10
872	2.27712	3.05E-10
873	2.277055	2.95E-10
874	2.276991	2.86E-10
875	2.276927	2.76E-10
876	2.276863	2.67E-10
877	2.2768	2.58E-10
878	2.276737	2.49E-10
879	2.276674	2.41E-10
880	2.276612	2.33E-10
881	2.27655	2.25E-10
882	2.276488	2.18E-10
883	2.276427	2.11E-10
884	2.276366	2.04E-10
885	2.276306	1.97E-10
886	2.276246	1.90E-10
887	2.276186	1.84E-10
888	2.276126	1.78E-10
889	2.276067	1.72E-10
890	2.276008	1.66E-10
891	2.27595	1.61E-10
892	2.275892	1.55E-10
893	2.275834	1.50E-10
894	2.275776	1.45E-10
895	2.275719	1.40E-10
896	2.275662	1.36E-10
897	2.275606	1.31E-10
898	2.275549	1.27E-10
899	2.275493	1.23E-10
900	2.275438	1.19E-10
901	2.275382	1.15E-10
902	2.275327	1.11E-10
903	2.275273	1.07E-10
904	2.275218	1.04E-10
905	2.275164	1.00E-10
906	2.27511	9.68E-11
907	2.275057	9.36E-11
908	2.275004	9.05E-11
909	2.274951	8.75E-11
910	2.274898	8.46E-11
911	2.274846	8.18E-11
912	2.274793	7.90E-11
913	2.274742	7.64E-11
914	2.27469	7.39E-11
915	2.274639	7.14E-11
916	2.274588	6.91E-11
917	2.274537	6.68E-11
918	2.274487	6.45E-11
919	2.274437	6.24E-11
920	2.274387	6.03E-11
921	2.274337	5.83E-11
922	2.274288	5.64E-11
923	2.274239	5.45E-11
924	2.27419	5.27E-11
925	2.274142	5.09E-11
926	2.274094	4.92E-11
927	2.274046	4.76E-11
928	2.273998	4.60E-11
929	2.27395	4.45E-11
930	2.273903	4.30E-11
931	2.273856	4.16E-11
932	2.273809	4.02E-11
933	2.273763	3.89E-11
934	2.273717	3.76E-11
935	2.273671	3.63E-11
936	2.273625	3.51E-11
937	2.27358	3.40E-11
938	2.273534	3.28E-11
939	2.273489	3.17E-11
940	2.273445	3.07E-11
941	2.2734	2.97E-11
942	2.273356	2.87E-11
943	2.273312	2.77E-11
944	2.273268	2.68E-11
945	2.273224	2.59E-11
946	2.273181	2.51E-11
947	2.273138	2.42E-11
948	2.273095	2.34E-11
949	2.273052	2.26E-11
950	2.27301	2.19E-11
951	2.272968	2.12E-11
952	2.272926	2.05E-11
953	2.272884	1.98E-11
954	2.272842	1.91E-11
955	2.272801	1.85E-11
956	2.27276	1.79E-11
957	2.272719	1.73E-11
958	2.272678	1.67E-11
959	2.272638	1.61E-11
960	2.272597	1.56E-11
961	2.272557	1.51E-11
962	2.272517	1.46E-11
963	2.272478	1.41E-11
964	2.272438	1.36E-11
965	2.272399	1.32E-11
966	2.27236	1.27E-11
967	2.272321	1.23E-11
968	2.272282	1.19E-11
969	2.272244	1.15E-11
970	2.272206	1.11E-11
971	2.272168	1.08E-11
972	2.27213	1.04E-11
973	2.272092	1.01E-11
974	2.272055	9.72E-12
975	2.272017	9.40E-12
976	2.27198	9.09E-12
977	2.271943	8.79E-12
978	2.271907	8.49E-12
979	2.27187	8.21E-12
980	2.271834	7.94E-12
981	2.271798	7.68E-12
982	2.271762	7.42E-12
983	2.271726	7.17E-12
984	2.27169	6.94E-12
985	2.271655	6.71E-12
986	2.27162	6.48E-12
987	2.271584	6.27E-12
988	2.27155	6.06E-12
989	2.271515	5.86E-12
990	2.27148	5.66E-12
991	2.271446	5.47E-12
992	2.271412	5.29E-12
993	2.271378	5.12E-12
994	2.271344	4.95E-12
995	2.27131	4.78E-12
996	2.271277	4.62E-12
997	2.271243	4.47E-12
998	2.27121	4.32E-12
999	2.271177	4.18E-12
1000	2.271144	4.04E-12
